https://utmb.world/fr/utmb-index/races/945.tenerifebluetrailbyutmbtenerifebluetrail73k.2024

Place;Temps;Nom;Nationalité;Genre;Catégorie;Score;0.0;0.05;0.1;0.15000000000000002;0.2;0.25;0.30000000000000004;0.35000000000000003;0.4;0.45;0.5;0.55;0.6000000000000001;0.65;0.7000000000000001;0.75;0.8;0.8500000000000001;0.9;0.9500000000000001;1.0
1;06:45:18;Riccardo MONTANI;Italie;Homme;20-34;843
2;06:51:45;Elliot PHILLIPPON;France;Homme;20-34;830
3;06:56:35;Kevin ROUX;France;Homme;20-34;820
4;07:22:04;Viktor CHERKASOV;Ukraine;Homme;35-39;773
5;07:24:49;Javier JANEIRO CERDEIRA;Mexique;Homme;35-39;768
6;07:29:41;Martyna MŁYNARCZYK;Pologne;Femme;35-39;760
7;07:33:00;Pablo GIL;Espagne;Homme;40-44;754
8;07:35:28;Jacob MEDINA EXPOSITO;Espagne;Homme;35-39;750
9;07:40:54;Gabriel Nadal PORQUER CRESPI;Espagne;Homme;35-39;741
10;07:46:14;Oliver VARNEY;Royaume-Uni;Homme;20-34;733
11;07:47:29;Germán GONZALEZ GONZALEZ;Espagne;Homme;20-34;731
12;07:48:09;Francisco SANTANA MORALES;Espagne;Homme;45-49;730
13;07:48:47;Gemma ARENAS;Espagne;Femme;45-49;729
14;07:53:25;Xenxo LASO VAZQUEZ;Espagne;Homme;35-39;722
15;07:54:19;Leo MAILLET;France;Homme;20-34;720
16;07:55:54;Octavio León DIAZ;Espagne;Homme;40-44;718
17;08:00:33;Leo ROBLIN;France;Homme;20-34;711
18;08:01:36;Celia BALCELLS SERRA;Espagne;Femme;20-34;709
19;08:07:20;Francisco VELASCO HURTADO;Espagne;Homme;35-39;701
20;08:07:43;Ragna DEBATS;Pays-Bas;Femme;45-49;701
21;08:12:13;Alireza JAVDANI;Iran;Homme;40-44;694
22;08:12:21;Aaron HERNANDEZ;Espagne;Homme;35-39;694
23;08:16:44;Jose-Antonio ALGUETA;Espagne;Homme;50-54;688
24;08:17:05;Corentin CAMBONIE;France;Homme;35-39;687
25;08:19:47;Luca MARTINELLI;Italie;Homme;20-34;684
26;08:20:44;Paulius KOVARSKAS;Lituanie;Homme;35-39;682
27;08:22:26;Bernardo MARTINEZ PANDURO;Espagne;Homme;45-49;680
28;08:22:35;Juan José MARRERO MARTÍN;Espagne;Homme;35-39;680
29;08:28:08;Stéven GUICHAOUA;France;Homme;20-34;672
30;08:29:11;Jessica TIPAN GUTIERREZ;Equateur;Femme;35-39;671
31;08:30:50;Jordi BALAGUERO NIETO;Espagne;Homme;40-44;669
32;08:30:58;Alejandro PEREZ DE LA ESPERANZA;Espagne;Homme;40-44;669
33;08:33:35;Jonathan HERNANDEZ BENITEZ;Espagne;Homme;35-39;665
34;08:37:26;Joe WARNE;Irlande;Homme;35-39;660
35;08:38:13;Juanjo REVERON;Espagne;Homme;40-44;659
35;08:38:13;Aaron ALONSO CESTEROS;Espagne;Homme;40-44;659
37;08:39:22;Aythami PERAZA MENDEZ;Espagne;Homme;20-34;658
38;08:39:26;Daniel GUERRERO-NISTAL;Espagne;Homme;45-49;658
39;08:39:58;Nicolas URIEN;France;Homme;20-34;657
40;08:42:26;Carles HIDALGO MORON;Espagne;Homme;40-44;654
41;08:47:25;Ricardo José GONZÁLEZ PÉREZ;Espagne;Homme;20-34;648
42;08:50:27;Albert CABRA-SAMANIEGO;Espagne;Homme;35-39;644
43;08:51:07;Joel GOMES;Portugal;Homme;45-49;643
44;08:59:18;Abraham GARCIA-BENITEZ;Espagne;Homme;35-39;634
45;09:00:10;Miguel Angel PLASENCIA GONZÁLEZ;Espagne;Homme;20-34;633
46;09:00:16;Federico MALAVER;Colombie;Homme;35-39;632
47;09:00:40;Filippo MARTINI;Italie;Homme;20-34;632
48;09:03:20;Claudia MOLA;Espagne;Femme;20-34;629
49;09:03:29;Jose-Angel CONCEPCION-SANCHEZ;Espagne;Homme;20-34;629
50;09:09:06;Andrea BERQUEZ;Royaume-Uni;Femme;35-39;622
51;09:10:35;José Antonio RODRIGUEZ FERNANDEZ;Espagne;Homme;40-44;621
52;09:12:24;Rogelio RODRIGUEZ CARDOSO;Espagne;Homme;35-39;619
53;09:14:08;Francisco-Javier HERNANDEZ-TOLEDO;Espagne;Homme;40-44;617
54;09:14:59;Cristopher MILESI;Italie;Homme;35-39;616
55;09:15:01;Clement BOIVIN;France;Homme;35-39;616
56;09:15:18;Jorge ALBORÉS MÍGUEZ;Espagne;Homme;45-49;615
57;09:18:07;Quentin ROLLAND;France;Homme;20-34;612
58;09:21:28;Lucas PERALTA;Argentine;Homme;40-44;609
59;09:32:28;Jordi PÉREZ JIMÉNEZ;Espagne;Homme;35-39;597
60;09:33:01;Rogeli GRIMA-TORRES;Espagne;Homme;45-49;596
61;09:34:57;Ivan ROVIRA-VINUESA;Espagne;Homme;45-49;594
62;09:35:41;Pedro MARTINS;Portugal;Homme;35-39;593
63;09:36:06;Tomas DE PACO SÁNCHEZ;Espagne;Homme;45-49;593
64;09:36:58;Mallaury PEREZ  LACOSTE;France;Homme;20-34;592
65;09:37:02;Javier MARIN;Espagne;Homme;20-34;592
66;09:37:49;Jeremie DEGRAEVE;France;Homme;35-39;591
67;09:43:29;Joana RAIO ESPERANCO;Portugal;Femme;35-39;586
68;09:44:27;Manuel Alejandro VEGA MENDOZA;Espagne;Homme;20-34;585
69;09:47:42;Florent LEGEAY;France;Homme;35-39;581
70;09:49:22;Jose manuel SANTIAGO MARTÍNEZ;Espagne;Homme;60-64;580
71;09:54:12;Pierre MERCIER;France;Homme;20-34;575
72;09:54:35;Jose Miguel LUIS RODRIGUEZ;Espagne;Homme;50-54;575
73;09:55:59;Michał WYLEGAŁA;Pologne;Homme;45-49;573
74;09:56:41;Jaume MUNTANE-BERTRANS;Espagne;Homme;50-54;573
75;10:01:14;Roman MORELL STEMMLER;Espagne;Homme;45-49;568
76;10:01:16;Claudio CHERAZ;Italie;Homme;55-59;568
77;10:04:10;Pierre LEMERCIER;France;Homme;35-39;566
78;10:04:13;Debbie CONEY PINDER;Royaume-Uni;Femme;45-49;565
79;10:04:16;Moises GARRIDO RODRÍGUEZ;Espagne;Homme;45-49;565
80;10:04:53;Alejandro GONZALEZ;Espagne;Homme;45-49;565
81;10:08:09;Alberto HERNÁNDEZ-BETANCOR;Espagne;Homme;35-39;562
82;10:11:05;Yisu LIU;Etats-Unis;Homme;40-44;559
83;10:12:25;Pedro CASTRO;Portugal;Homme;40-44;558
84;10:12:53;Elisa MAS;Espagne;Femme;40-44;557
85;10:14:40;Ludmila HASSAN-HERRERA;Espagne;Femme;45-49;556
85;10:14:40;Xavier ROQUE;Espagne;Homme;40-44;556
87;10:14:41;Ivan GIMENO CARVAJAL;Espagne;Homme;40-44;556
88;10:16:46;Julie RACH;France;Femme;35-39;554
89;10:17:21;Joan ROCA ROYO;Espagne;Homme;35-39;553
90;10:19:10;Mario PASTOR;Espagne;Homme;45-49;552
91;10:20:31;Jérémy BARRAUD;France;Homme;40-44;551
92;10:21:25;Roberto OLIVERO;Espagne;Homme;45-49;550
93;10:21:26;Isidro RODRIGUEZ-LUIS;Espagne;Homme;45-49;550
94;10:21:47;Arsenio Luis MARRERO COELLO;Espagne;Homme;55-59;549
95;10:22:08;Hugo AYOUB;France;Homme;20-34;549
96;10:22:38;Diego SÁNCHEZ BUJEQUE;Espagne;Homme;40-44;549
97;10:25:32;Abrham GULILAT;Pays-Bas;Homme;45-49;546
98;10:27:56;Steven MILLS;Royaume-Uni;Homme;20-34;544
99;10:29:39;Michał BOROWSKI;Pologne;Homme;20-34;543
100;10:29:47;Frederic MALRAISON;France;Homme;35-39;543
101;10:30:29;James COOME;Royaume-Uni;Homme;20-34;542
102;10:34:16;Paul CLARKE;Royaume-Uni;Homme;20-34;539
103;10:35:19;Anonymous;France;Femme;35-39;538
104;10:35:27;Rayco RODRIGUEZ DARIAS;Espagne;Homme;35-39;538
105;10:36:36;Parker ZOLLINGER;Etats-Unis;Homme;20-34;537
106;10:37:30;Jose-Manuel GONZALEZ-LEON;Espagne;Homme;40-44;536
107;10:38:10;Craig MURPHY;Etats-Unis;Homme;45-49;535
108;10:38:54;José DE SOTTO ESTEBAN;Espagne;Homme;45-49;535
109;10:39:27;Iosu GONZALEZ;Espagne;Homme;40-44;534
110;10:40:31;Anonymous;République tchèque;Homme;35-39;533
111;10:41:54;Eduardo MARTIN-COSTILLA;Espagne;Homme;35-39;532
112;10:43:52;Alfredo MEGERT;Espagne;Homme;45-49;531
113;10:45:30;Andreea Mihaela DORLEA;Roumanie;Femme;20-34;529
114;10:45:45;Heriberto RAMOS PEREZ;Espagne;Homme;45-49;529
115;10:45:48;Bruno MONTESDEOCA RAMOS;Espagne;Homme;35-39;529
116;10:48:12;Simon TANGHE;Belgique;Homme;20-34;527
117;10:50:05;Tommaso BIASIN;Italie;Homme;40-44;526
118;10:50:24;Samuel MARTIN FERNANDEZ;Espagne;Homme;40-44;525
119;10:51:50;Camille ROY;France;Femme;35-39;524
120;10:52:48;Ben EVE;Royaume-Uni;Homme;35-39;523
121;10:53:12;German MONTESDEOCA BAEZ;Espagne;Homme;45-49;523
122;10:53:40;Javillong CHO DOMÍNGUEZ;Espagne;Homme;45-49;523
123;10:54:46;Nicolò BIONDI;Italie;Homme;20-34;522
124;10:56:35;Adam RYLANCE;Etats-Unis;Homme;20-34;520
125;10:57:12;Veronika PEROUTKOVA;République tchèque;Femme;35-39;520
126;10:58:18;Laurentiu VLADAN;Roumanie;Homme;40-44;519
127;10:58:55;Robbe ORBAN;Belgique;Homme;20-34;519
128;10:58:57;Pablo RODRÍGUEZ GUTIÉRREZ;Espagne;Homme;45-49;519
129;11:02:50;David ANTOLINEZ;France;Homme;35-39;515
130;11:04:29;Jorge ROMERO MORTE;Espagne;Homme;20-34;514
131;11:04:36;Daniel MARTÍN CRISTÓBAL;Espagne;Homme;45-49;514
132;11:05:15;Ruben SCHOENMAEKERS;Belgique;Homme;20-34;514
133;11:08:45;Dominik NZUSYO;Allemagne;Homme;40-44;511
134;11:08:52;Nežka HRIBERNIK;Slovénie;Femme;35-39;511
135;11:08:53;Akebbab MOHAMED;France;Homme;45-49;511
136;11:09:16;Oliver ALONSO HERNANDEZ;Espagne;Homme;35-39;511
137;11:10:51;Claude OUCHENE;France;Homme;50-54;509
138;11:11:39;Iago PEREZ DIOS;Espagne;Homme;20-34;509
139;11:16:47;Gaelle LAUER;France;Femme;35-39;505
140;11:17:05;Ángel David PRIETO NAVARRO (Angel David PRIETO NAVARRO);Espagne;Homme;45-49;505
141;11:17:16;Dmitrii PRAVOTOROV;Neutral Athlete;Homme;20-34;504
142;11:17:45;Loreto RODRIGUEZ MARTINEZ;Espagne;Femme;40-44;504
143;11:18:14;Joan MOREL;France;Homme;20-34;504
144;11:18:42;Maxime LEMOIGNE;France;Homme;20-34;503
145;11:19:20;Laureano Domingo CAMACHO CABRERA;Espagne;Homme;45-49;503
146;11:19:47;Serafin BECERRA BLASCO;Espagne;Homme;45-49;503
147;11:20:15;Rob CAMPBELL;Royaume-Uni;Homme;35-39;502
148;11:22:36;Karine BLARY;France;Femme;45-49;501
149;11:22:40;Mirko PASINELLI;Suisse;Homme;20-34;500
150;11:24:13;Arancha ALMAZAN LOPEZ;Espagne;Femme;50-54;499
151;11:25:53;Steeve DOBERT;France;Homme;40-44;498
152;11:28:26;Juan Antonio GUTIERREZ;Espagne;Homme;55-59;496
153;11:30:24;Cesar LOPEZ-PINEL;Espagne;Homme;45-49;495
154;11:31:50;Pedro SOLAR RUIGOMEZ;Espagne;Homme;40-44;494
155;11:35:05;John SHERRY;Irlande;Homme;50-54;492
156;11:35:13;Manon VAN THORENBURG;Belgique;Femme;20-34;491
157;11:35:52;Jose Alfonso GONZALEZ PEREZ;Espagne;Homme;40-44;491
158;11:37:08;Thibault YON;France;Homme;20-34;490
159;11:38:45;Diego LOPEZ MATA;Espagne;Homme;20-34;489
160;11:39:14;Pedro BRAVO LINARES;Espagne;Homme;65-69;489
161;11:39:18;Kristel TUKK;Estonie;Femme;40-44;489
162;11:40:44;Louis GROULARD;Belgique;Homme;20-34;488
163;11:41:24;Daniel CONDE GONZÁLEZ;Espagne;Homme;35-39;487
164;11:41:38;Jérémy BALANDIER;France;Homme;20-34;487
165;11:41:51;Alex Mesias CUENCA CAZORLA;Equateur;Homme;20-34;487
166;11:43:16;Nicolas COMET;France;Homme;50-54;486
167;11:43:58;Encarnacion DEL VALLE FERNANDEZ;Espagne;Femme;65-69;485
168;11:45:01;Josue DIAZ DIEZ;Espagne;Homme;45-49;485
169;11:45:18;Angel VIDAL BOLDÚ;Espagne;Homme;50-54;484
170;11:45:30;Pere Joan PERICÀS;Espagne;Homme;20-34;484
171;11:45:50;Pierre ALIBERT;France;Homme;35-39;484
172;11:45:51;Jose Ignacio MINGO SAN ILDEFONSO;Espagne;Homme;40-44;484
173;11:46:08;Ivan CASTILLA PEREZ;Espagne;Homme;40-44;484
174;11:46:18;Roberto DI GIACOMO;Italie;Homme;55-59;484
175;11:46:41;Samuel FOURNIER;Suisse;Homme;40-44;483
176;11:48:24;Cyril VAN NIEUWENBORGH;Belgique;Homme;35-39;482
177;11:50:31;Edgar BELTRAN;Espagne;Homme;35-39;481
178;11:51:40;Jorge CABRERA-GONZALEZ;Espagne;Homme;35-39;480
178;11:51:40;Rami HERNÁNDEZ;Espagne;Homme;40-44;480
180;11:53:21;Laura FRANCES SAN MARTIN;Espagne;Femme;40-44;479
181;11:54:38;Fran LIZARAN;Espagne;Homme;40-44;478
182;11:55:22;Miquel SERRANO-SERRA;Espagne;Homme;40-44;478
183;11:56:14;Yurena LLANOS LOPEZ;Espagne;Femme;40-44;477
184;11:56:50;Anonymous;Oman;Homme;35-39;477
185;11:57:01;Antonio LUIS-RODRIGUEZ;Espagne;Homme;60-64;477
186;11:57:12;Sigurdur KIERNAN;Islande;Homme;55-59;476
187;11:57:25;Benoit LE VAILLANT;France;Homme;45-49;476
188;11:57:54;Oliver FALCON-SANTANA;Espagne;Homme;45-49;476
189;11:57:55;Eva PEREZ DIAZ;Espagne;Femme;45-49;476
190;11:58:09;Jérôme AUTEFAGE;France;Homme;45-49;476
191;11:58:30;Youssef SAYEGH;France;Homme;35-39;476
192;11:59:59;Aaron PEREZ CASTANEDA;Espagne;Homme;35-39;475
192;11:59:59;Romén RODRIGUEZ;Espagne;Homme;35-39;475
194;12:00:01;Lara Esther RODRIGUEZ LEON;Espagne;Femme;20-34;475
195;12:00:15;Peter PANUS;Pologne;Homme;50-54;474
196;12:01:14;Carlos ULE DELGADO;Espagne;Homme;55-59;474
197;12:01:26;Andrea SQUARCINA;Italie;Homme;45-49;474
198;12:02:31;Michal FENCL;République tchèque;Homme;20-34;473
199;12:03:11;Isidro PERDOMO-RODRIGUEZ;Espagne;Homme;60-64;472
200;12:03:42;Ionut BOCANIALA;Roumanie;Homme;35-39;472
201;12:05:46;Neus COLET JANE;Espagne;Femme;40-44;471
201;12:05:46;Laura NUÑEZ JARA;Espagne;Femme;40-44;471
203;12:08:25;Andreas DE RYCKE;Belgique;Homme;35-39;469
204;12:08:55;Anonymous;Espagne;Homme;50-54;469
205;12:08:59;Valeria DONATI;Italie;Femme;45-49;469
206;12:09:02;Yannick NAVARRO;France;Femme;55-59;469
207;12:09:38;Gunnar STEFÁNSSON;Islande;Homme;45-49;468
208;12:11:06;Manuel ALVAREZ-REYES;Espagne;Homme;50-54;467
209;12:12:58;Davy VAN BAEL;Belgique;Homme;40-44;466
210;12:13:49;Jacinto SANCHEZ VEGA;Espagne;Homme;50-54;466
